Driver	| Practice 1| Practice 2| Practice 3| Average	| Result	| Lap Time
1. GAS	| 90.408s	| 86.936s	| 85.684s	| 87.768s	| PER		| 86.841s
2. ALO	| 88.540s	| 87.397s	| 87.487s	| 87.899s	| ALO		| 87.202s
3. RUS	| 90.125s	| 87.128s	| 87.809s	| 87.915s	| SAI		| 87.349s
4. STR	| 87.141s	| 88.866s	| 87.991s	| 87.997s	| MAG		| 87.767s
5. VER	| 90.802s	| 88.093s	| 87.070s	| 88.126s	| GAS		| 87.786s
6. LEC	| 90.774s	| 88.952s	| 87.882s	| 88.507s	| RUS		| 87.804s
7. PER	| 90.582s	| 88.797s	| 85.909s	| 88.510s	| LEC		| 87.861s
8. OCO	| 90.312s	| 87.798s	| 87.294s	| 88.803s	| OCO		| 87.935s
9. TSU	| 91.750s	| 88.767s	| 87.319s	| 88.922s	| VER		| 86.814s
10. BOT	| 89.149s	| 89.433s	| 88.457s	| 88.970s	| BOT		| 87.564s
11. DEV	| No Time	| 89.596s	| 88.850s	| 89.276s	| ALB		| 87.795s
12. SAI	| 91.237s	| 91.877s	| 87.016s	| 89.351s	| HUL		| 87.903s
13. HUL	| 91.412s	| 90.135s	| 88.226s	| 89.358s	| HAM		| 87.975s
14. MAG	| 92.090s	| 89.697s	| 88.161s	| 89.375s	| ZHO		| 88.091s
15. PIA	| 91.810s	| 89.476s	| 88.890s	| 89.434s	| DEV		| 88.395s
16. ZHO	| 90.531s	| 90.084s	| 88.533s	| 89.547s	| NOR		| 88.394s
17. SAR	| 90.018s	| 88.637s	| 89.957s	| 89.767s	| TSU		| 88.429s
18. ALB	| 91.110s	| 89.267s	| 89.045s	| 90.105s	| STR		| 88.476s
19. HAM	| 90.337s	| 88.889s	| 90.437s	| 90.171s	| PIA		| 88.484s
20. NOR	| 90.556s	| 91.337s	| 89.878s	| 90.618s	| SAR		| 88.577s
